BenchmarkCode,DateFrom,DateTo,Performance
JB06,2009-11-01,2009-11-30,2.1176497153
JB06,2009-12-01,2009-12-31,0.0000029509
JB06,2010-01-01,2010-01-31,14.1793668517
JB06,2010-02-01,2010-02-28,0.1241842115
JB06,2010-03-01,2010-03-31,-1.1627906657
JB06,2010-04-01,2010-04-30,1.9607855518
JB06,2010-05-01,2010-05-31,-1.1538463284
JB06,2010-06-01,2010-06-30,-0.1245129282
JB06,2010-07-01,2010-07-31,0.7791805929
JB06,2010-08-01,2010-08-31,3.7266119927
JB06,2010-09-01,2010-09-30,0.9988085431
JB06,2010-10-01,2010-10-31,-0.6199289176
JB06,2010-11-01,2010-11-30,-0.8614283851
JB06,2010-12-01,2010-12-31,2.2471893577
JB06,2011-01-01,2011-01-31,-2.4468829465
JB06,2011-02-01,2011-02-28,1.2616398082
JB06,2011-03-01,2011-03-31,1.1124305102
JB06,2011-04-01,2011-04-30,0.3667274493
JB06,2011-05-01,2011-05-31,0.1169247074
JB06,2011-06-01,2011-06-30,-1.4598535253
JB06,2011-07-01,2011-07-31,1.6000008692
JB06,2011-08-01,2011-08-31,0.7290750411
JB06,2011-09-01,2011-09-30,-0.8396050535
JB06,2011-10-01,2011-10-31,0.1167877368
JB06,2011-11-01,2011-11-30,3.1641855129
JB06,2011-12-01,2011-12-31,6.0070672272
JB06,2012-01-01,2012-01-31,0.4399992681
JB06,2012-02-01,2012-02-29,4.2081485499
JB06,2012-03-01,2012-03-31,0.6369419406
JB06,2012-04-01,2012-04-30,1.0506318549
JB06,2012-05-01,2012-05-31,0.2129529335
JB06,2012-06-01,2012-06-30,-1.2499988537
JB06,2012-07-01,2012-07-31,0.5316488117
JB06,2012-08-01,2012-08-31,1.3598591642
JB06,2012-09-01,2012-09-30,-1.0310542897
JB06,2012-10-01,2012-10-31,0.0000002017
JB06,2012-11-01,2012-11-30,-0.1129656323
JB06,2012-12-01,2012-12-31,0.0000017870
JB06,2013-01-01,2013-01-31,-0.0000021213
JB06,2013-02-01,2013-02-28,-0.5152034700
JB06,2013-03-01,2013-03-31,0.2020934800
JB06,2013-04-01,2013-04-30,-0.7311232221
JB06,2013-05-01,2013-05-31,0.1015864731
JB06,2013-06-01,2013-06-30,-0.9514163579
JB06,2013-07-01,2013-07-31,-4.2648584613
JB06,2013-08-01,2013-08-31,-1.3377924715
JB06,2013-09-01,2013-09-30,0.4474579632
JB06,2013-10-01,2013-10-31,2.2543196772
JB06,2013-11-01,2013-11-30,1.7557756580
JB06,2013-12-01,2013-12-31,-1.4011422207
JB06,2014-01-01,2014-01-31,-0.2236834715
JB06,2014-02-01,2014-02-28,-0.5406829721
JB06,2014-03-01,2014-03-31,-1.9888615886
JB06,2014-04-01,2014-04-30,-0.1217524741
JB06,2014-05-01,2014-05-31,0.5688741222
JB06,2014-06-01,2014-06-30,0.2289563824
JB06,2014-07-01,2014-07-31,1.0077933817
JB06,2014-08-01,2014-08-31,1.7693213680
JB06,2014-09-01,2014-09-30,-0.7581691861
JB06,2014-10-01,2014-10-31,1.0932562026
